method,relaxations,time
Djikstra,962083,0.14774218
Djikstra,128830,0.021792209
Djikstra,32717,0.013763101
Djikstra,314587,0.060339313
Djikstra,211169,0.043174032
Djikstra,218470,0.04492249
Djikstra,1108971,0.19153224
Djikstra,1108662,0.1783792
Djikstra,243764,0.039150447
Djikstra,256971,0.04903397
Djikstra,872860,0.15934898
Djikstra,1057679,0.16658589
Djikstra,456537,0.07712798
Djikstra,614366,0.09386339
Djikstra,1132578,0.17464367
Djikstra,905965,0.1866951
Djikstra,520414,0.09266918
Djikstra,829686,0.116075665
Djikstra,632981,0.11096581
Djikstra,253974,0.049832065
Djikstra,407642,0.082997985
Djikstra,743111,0.14567257
Djikstra,485871,0.08341639
Djikstra,122399,0.019255498
Djikstra,810728,0.15066397
Djikstra,1012520,0.15837422
Djikstra,436433,0.061843913
Djikstra,640170,0.10994894
Djikstra,528113,0.089637935
Djikstra,832779,0.15965672
Djikstra,140099,0.025500651
Djikstra,942843,0.15758726
Djikstra,1128924,0.1864329
Djikstra,281419,0.038301542
Djikstra,638633,0.109926224
Djikstra,199825,0.04241286
Djikstra,781422,0.13815926
Djikstra,524067,0.08464522
Djikstra,990161,0.15749665
Djikstra,1082762,0.24226487
Djikstra,993624,0.18627301
Djikstra,733,0.001369354
Djikstra,571225,0.09175493
Djikstra,203220,0.034082968
Djikstra,682033,0.10029952
Djikstra,1014680,0.15583387
Djikstra,1023075,0.204871
Djikstra,102674,0.018432964
Djikstra,1137576,0.20900057
Djikstra,697774,0.106348425
Djikstra,754320,0.1338978
Djikstra,349850,0.05993979
Djikstra,929870,0.1708385
Djikstra,75336,0.01676549
Djikstra,1139069,0.24912189
Djikstra,171312,0.034155175
Djikstra,1003404,0.22880483
Djikstra,1048051,0.23529604
Djikstra,784826,0.15841651
Djikstra,330719,0.05973483
Djikstra,475438,0.10280387
Djikstra,596332,0.130028
Djikstra,1164219,0.28179753
Djikstra,588332,0.116010584
Djikstra,501700,0.13046466
Djikstra,683998,0.18643686
Djikstra,355195,0.09298528
Djikstra,422397,0.10287646
Djikstra,1095243,0.265038
Djikstra,1164870,0.32973406
Djikstra,849831,0.18593852
Djikstra,822125,0.17008206
Djikstra,952840,0.22307105
Djikstra,403852,0.11543103
Djikstra,884981,0.23523131
Djikstra,232052,0.06175392
Djikstra,413278,0.08479184
Djikstra,343293,0.064502165
Djikstra,627588,0.17331511
Djikstra,920242,0.23827621
Djikstra,439977,0.10206773
Djikstra,1150942,0.23019364
Djikstra,422522,0.07219358
Djikstra,573412,0.100249946
Djikstra,943547,0.1548829
Djikstra,614675,0.0937765
Djikstra,1154197,0.17597784
Djikstra,236456,0.03555321
Djikstra,1089124,0.25571603
Djikstra,1128651,0.22001259
Djikstra,167025,0.025675751
Djikstra,233126,0.0442564
Djikstra,928215,0.18655565
Djikstra,258148,0.05776218
Djikstra,1086005,0.27879006
Djikstra,288244,0.076228745
