method,relaxations,time,distance

Dijkstra,63061636,0.2941511,20524.0

Dijkstra,63083850,0.0095878,3955.0

Dijkstra,63618349,0.2551264,20408.0

Dijkstra,64178606,0.2690685,17212.0

Dijkstra,64603976,0.2054424,15643.0

Dijkstra,64637764,0.017753,2485.0

Dijkstra,64965153,0.1422792,10673.0

Dijkstra,65391716,0.2389297,16222.0

Dijkstra,65398747,0.0034189,1126.0

Dijkstra,65819959,0.2859601,9439.0

Dijkstra,66145615,0.292313,8006.0

Dijkstra,66175071,0.0207094,3179.0

Dijkstra,66492438,0.2411853,8021.0

Dijkstra,66732270,0.1918339,6751.0

Dijkstra,66983574,0.1553686,8803.0

Dijkstra,67000517,0.0119437,1455.0

Dijkstra,67106611,0.0649164,3897.0

Dijkstra,67194379,0.0547637,3242.0

Dijkstra,67416033,0.145606,9187.0

Dijkstra,67729692,0.2916684,13018.0

Dijkstra,68291300,0.5007526,14476.0

Dijkstra,68623199,0.2422238,9393.0

Dijkstra,68882043,0.1426915,6600.0

Dijkstra,69452026,0.2513884,25228.0

Dijkstra,69564281,0.051486,4465.0

Dijkstra,69934137,0.1604266,11747.0

Dijkstra,70182195,0.0983145,12476.0

Dijkstra,70536182,0.1807178,7325.0

Dijkstra,70981378,1.3789208,10617.0

Dijkstra,71324936,0.5032619,11643.0

Dijkstra,71517259,0.19803,8794.0

Dijkstra,72052952,0.5004164,19256.0

Dijkstra,72187756,0.0664039,6167.0

Dijkstra,72291120,0.6318091,6138.0

Dijkstra,72565954,0.3948258,10562.0

Dijkstra,72580901,0.0138866,2067.0

Dijkstra,72804640,0.1863731,10089.0

Dijkstra,72836249,0.0248151,1422.0

Dijkstra,73009626,0.1840841,7132.0

Dijkstra,73344796,0.2602554,8559.0

Dijkstra,73891842,0.4891655,19844.0

Dijkstra,74002665,0.0835219,5651.0

Dijkstra,74304654,0.2698208,8438.0

Dijkstra,74801048,0.5384885,10624.0

Dijkstra,74844665,0.0437744,2520.0

Dijkstra,74875944,0.0253179,4040.0

Dijkstra,74960926,0.0571746,4613.0

Dijkstra,75402083,0.391284,12219.0

Dijkstra,75912372,0.5227214,16969.0

Dijkstra,76195039,0.3044019,6209.0

Dijkstra,76496977,0.3012152,6396.0

Dijkstra,76790326,0.233073,6378.0

Dijkstra,77278958,0.2979533,17502.0

Dijkstra,77713952,0.2144905,14073.0

Dijkstra,77980857,0.1003535,13636.0

Dijkstra,78107883,0.0660549,4906.0

Dijkstra,78279855,0.1111831,7229.0

Dijkstra,78499140,0.1209192,8776.0

Dijkstra,79063533,0.2665526,16557.0

Dijkstra,79392790,0.1713592,9112.0

Dijkstra,79728473,0.1722199,10280.0

Dijkstra,79946380,0.1148552,5329.0

Dijkstra,80094562,0.0768678,7860.0

Dijkstra,80281511,0.0870654,8503.0

Dijkstra,80294302,0.0106625,1422.0

Dijkstra,80555578,0.1594169,13748.0

Dijkstra,80973899,0.2153171,14542.0

Dijkstra,81350943,0.274823,14468.0

Dijkstra,81903076,0.3155218,16609.0

Dijkstra,82079629,0.1214386,8062.0

Dijkstra,82348746,0.1490556,6742.0

Dijkstra,82764568,0.3263094,15330.0

Dijkstra,82804561,0.031804,4929.0

Dijkstra,82825348,0.0137571,1778.0

Dijkstra,82838577,0.0077451,3168.0

Dijkstra,83412266,0.3930846,19633.0

Dijkstra,83606204,0.1078179,11534.0

Dijkstra,84178024,0.3102984,14309.0

Dijkstra,84642484,0.266677,14975.0

Dijkstra,84902001,0.1629153,9527.0

Dijkstra,84902916,0.0011986,286.0

Dijkstra,84984374,0.0368961,6418.0

Dijkstra,85391347,0.2277184,14403.0

Dijkstra,85932418,0.3287027,18830.0

Dijkstra,86106888,0.1059867,4114.0

Dijkstra,86562934,0.2166451,18973.0

Dijkstra,86824458,0.1716346,7005.0

Dijkstra,87172966,0.2349584,9363.0

Dijkstra,87546255,0.2608471,13929.0

Dijkstra,87775938,0.1507259,12684.0

Dijkstra,87999043,0.1224194,8668.0

Dijkstra,88474109,0.2764278,14543.0

Dijkstra,88961410,0.2996548,15830.0

Dijkstra,88982313,0.0145954,2469.0

Dijkstra,89204597,0.140409,7102.0

Dijkstra,89544848,0.2126815,12088.0

Dijkstra,89940063,0.2587771,17083.0

Dijkstra,90232406,0.2080596,8901.0

Dijkstra,90677262,0.259666,11439.0

Dijkstra,91182003,0.3974791,11527.0

Dijkstra,91597002,0.3887137,14557.0

Dijkstra,91647627,0.0401182,2514.0

Dijkstra,91672330,0.0181832,1750.0

Dijkstra,91795730,0.086335,4162.0

Dijkstra,91808488,0.0085965,1990.0

Dijkstra,91832055,0.0167257,2251.0

Dijkstra,91957079,0.0869687,6183.0

Dijkstra,92322667,0.2795409,9098.0

Dijkstra,92601651,0.491997,8881.0

Dijkstra,92803957,0.1850346,7236.0

Dijkstra,92807906,0.0030132,1224.0

Dijkstra,93114924,0.264385,8471.0

Dijkstra,93455363,0.2343722,7384.0

Dijkstra,93979055,0.2581311,14827.0

Dijkstra,94242493,0.1135599,8158.0

Dijkstra,94265582,0.0126628,2761.0

Dijkstra,94396525,0.0621113,5755.0

Dijkstra,94934494,0.3021503,17816.0

Dijkstra,95115825,0.1142039,7442.0

Dijkstra,95446180,0.1451699,12104.0

Dijkstra,95663970,0.138177,8332.0

Dijkstra,95819844,0.0967846,5231.0

Dijkstra,96034556,0.1827618,7435.0

Dijkstra,96142374,0.1004017,4852.0

Dijkstra,96616726,0.2699916,17229.0

Dijkstra,96853961,0.1077133,12097.0

Dijkstra,97275083,0.2365488,12478.0

Dijkstra,97637533,0.2096592,8142.0

Dijkstra,97934372,0.1479404,10245.0

Dijkstra,98503287,0.3362774,22311.0

Dijkstra,98916773,0.2288377,11817.0

Dijkstra,99135350,0.1251742,5340.0

Dijkstra,99695031,0.2971924,15403.0

Dijkstra,99840948,0.0793185,4212.0

Dijkstra,100364906,0.2904979,16644.0

Dijkstra,100552754,0.127307,4877.0

Dijkstra,100867931,0.2118484,15940.0

Dijkstra,100928150,0.0307577,6731.0

Dijkstra,101285773,0.1942781,11137.0

Dijkstra,101323931,0.0196082,2691.0

Dijkstra,101486672,0.1229601,6390.0

Dijkstra,101727385,0.148792,10356.0

Dijkstra,102188207,0.2936152,21087.0

Dijkstra,102315286,0.0876427,3510.0

Dijkstra,102318494,0.0027362,263.0

Dijkstra,102798908,0.4164792,13091.0

Dijkstra,102870259,0.0909048,3468.0

Dijkstra,103252844,0.5675003,13037.0

Dijkstra,103524093,0.2914284,10407.0

Dijkstra,103585162,0.0720033,3217.0

Dijkstra,104029090,0.4454222,11606.0

Dijkstra,104164118,0.1657893,4947.0

Dijkstra,104512583,0.312218,7718.0

Dijkstra,104651534,0.1411702,3605.0

Dijkstra,104760562,0.0929843,6110.0

Dijkstra,104859257,0.1190449,3010.0

Dijkstra,104955384,0.0826534,3240.0

Dijkstra,105000317,0.0445008,3400.0

Dijkstra,105427501,0.3995786,14347.0

Dijkstra,105760189,0.4348001,9117.0

Dijkstra,106231036,0.6041589,17527.0

Dijkstra,106294065,0.0558382,2872.0

Dijkstra,106310220,0.0123523,2698.0

