method,relaxations,time
Dijkstra,174174276,0.0103161
Dijkstra,174520623,0.1732152
Dijkstra,174997241,0.2340162
Dijkstra,175546579,0.249011
Dijkstra,175727193,0.0750016
Dijkstra,176234025,0.2300183
Dijkstra,176702932,0.1949767
Dijkstra,176761902,0.0264434
Dijkstra,177075745,0.1425275
Dijkstra,177272342,0.0904583
Dijkstra,177372134,0.0407204
Dijkstra,177492266,0.0508686
Dijkstra,177898884,0.1847619
Dijkstra,178392107,0.2218396
Dijkstra,178745522,0.1497419
Dijkstra,179278591,0.231127
Dijkstra,179826695,0.2347157
Dijkstra,180078299,0.1071958
Dijkstra,180383847,0.1424624
Dijkstra,180827550,0.2030201
Dijkstra,180856327,0.01322
Dijkstra,180962514,0.0488055
Dijkstra,181362837,0.2260366
Dijkstra,181838669,0.2097776
Dijkstra,182131512,0.1223355
Dijkstra,182370283,0.1078848
Dijkstra,182579722,0.0843581
Dijkstra,182836373,0.1045079
Dijkstra,183004278,0.0682658
Dijkstra,183212648,0.0910775
Dijkstra,183312409,0.0405953
Dijkstra,183592758,0.1160638
Dijkstra,183772385,0.0792376
Dijkstra,183813333,0.0170146
Dijkstra,183814905,0.0021482
Dijkstra,184128778,0.1474366
Dijkstra,184515562,0.1632711
Dijkstra,185065454,0.2767587
Dijkstra,185504673,0.1906903
Dijkstra,185856235,0.1480794
Dijkstra,186164897,0.1446938
Dijkstra,186356197,0.0886829
Dijkstra,186904311,0.2735048
Dijkstra,187127364,0.0943191
Dijkstra,187505403,0.1692205
Dijkstra,187884747,0.1698946
Dijkstra,188406426,0.298722
Dijkstra,188839849,0.1827479
Dijkstra,188844881,0.0022634
Dijkstra,188948653,0.0409029
Dijkstra,189207661,0.1240578
Dijkstra,189539800,0.1462634
Dijkstra,189712399,0.1213181
Dijkstra,189890793,0.083558
Dijkstra,190462327,0.2508377
Dijkstra,190691373,0.0924244
Dijkstra,191238730,0.2597227
Dijkstra,191530935,0.1618897
Dijkstra,191663892,0.055618
Dijkstra,192005545,0.1530474
Dijkstra,192143354,0.061907
Dijkstra,192689180,0.2410499
Dijkstra,193194341,0.2288837
Dijkstra,193509655,0.1449045
Dijkstra,193963964,0.1852573
Dijkstra,194531604,0.2413978
Dijkstra,194798309,0.1066303
Dijkstra,194820671,0.008578
Dijkstra,195363176,0.2279989
Dijkstra,195442865,0.0307544
Dijkstra,195571452,0.077835
Dijkstra,195863200,0.1618472
Dijkstra,196154429,0.1194126
Dijkstra,196551076,0.1770575
Dijkstra,196797912,0.1081937
Dijkstra,197212486,0.1855551
Dijkstra,197739670,0.2695693
Dijkstra,197938846,0.0932054
Dijkstra,198457084,0.2226761
Dijkstra,198543588,0.0369298
Dijkstra,199078425,0.2419753
Dijkstra,199509365,0.1859126
